GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transaction-event-bridge,com.harpreetsaund.transactioneventbridge.service,MessageFilterService,0,37,1,3,0,9,1,4,0,3
transaction-event-bridge,com.harpreetsaund.transactioneventbridge.service,MessageTransformService,0,58,0,0,0,13,0,4,0,4
transaction-event-bridge,com.harpreetsaund.transactioneventbridge.model,MqTransactionEvent,0,108,0,0,0,32,0,20,0,20
transaction-event-bridge,com.harpreetsaund.transactioneventbridge.mapper,TransactionEventMapper,0,272,0,20,0,62,0,22,0,8
transaction-event-bridge,com.harpreetsaund.transactioneventbridge,TransactionEventBridgeApplication,5,3,0,0,2,1,1,1,1,1
transaction-event-bridge,com.harpreetsaund.transactioneventbridge.config,EnvironmentConfig,0,19,0,0,0,7,0,3,0,3
transaction-event-bridge,com.harpreetsaund.transactioneventbridge.config,IntegrationConfig,0,11,0,0,0,4,0,3,0,3
transaction-event-bridge,com.harpreetsaund.transactioneventbridge.config,OutboundChannelConfig,12,43,0,0,0,15,2,9,2,9
transaction-event-bridge,com.harpreetsaund.transactioneventbridge.config,KafkaConfig,0,11,0,0,0,4,0,3,0,3
transaction-event-bridge,com.harpreetsaund.transactioneventbridge.config,JmsConfig,0,11,0,0,0,4,0,3,0,3
transaction-event-bridge,com.harpreetsaund.transactioneventbridge.config,InboundChannelConfig,0,35,0,0,0,9,0,4,0,4
